response ID,hashed user ID,band_11-12,band_3-4,band_5-6,band_7-8,band_9-10,band_k-2,comments,comparison,confidence_abstraction,confidence_algorithms,confidence_implementation,confidence_integration,confidence_representation,confidence_tcc,confidence_technical,define_ct,excited,freq_tcc_online,future_modules,future_webinars,improved_confidence,improved_integration,improved_knowledge,improved_resources,improved_understanding,inspiring,learn_to_code,length,pace,purpose,readiness_lead,ready_tcc,student_completion
6753,2fcd5946fe8e477dbea280f57ea277b9,,on,on,,,on,,5,5,5,4,5,5,5,4,"Breaking down a problem by distilling the required information, thinking about how to solve each part of the problem and then creating steps which will be the solution.",strongly_agree,days,Systems thinking is something I think needs to be discussed - particularly looking at what are appropriate contexts for systems within the year levels/bands. How complex should systems be as students progress through the school years - e.g. talking about systems as part of the actual projects students will be developing - is this enough to engender systems thinking or should we have an explicit agenda/way of teaching this? I don't know how many primary teachers understand what systems thinking actually is?,,sufficiently,sufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine,"To enable students to develop computational, design and systems thinking skills and put those skills to use to create efficient solutions to problems.",5,yes,"They should be able to think through problems, sift out the important information, reflect and design a solution to the problem, try out their design prototype and test it - reflect on how they did and modify it until they are happy with it - then pitch their idea to an appropriate audience."
6754,cb263cf0e7a4e33161f9f05d5e69277e,,on,,,,on,More chances to get up and move ,5,5,5,5,5,5,5,5,He above ,strongly_agree,days,"Assessment 
","Check ins 
How is it going 
Taiorling ",sufficiently,considerably,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine,"That’s a large question to answer now. The purpose of the DT subject is the help our students learn creative ways to problem solve, like a special skill set for life. ",5,yes,The above 
6755,93d881acff13b57f917545ba26314026,,on,,,,on,,4,4,4,4,3,4,4,3,Logical step by step thinking,strongly_agree,weeks,,,sufficiently,sufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,fast,To prepare students for interacting and using DT in all aspects of their lives,4,yes,"Understand the concepts covered eg data, computational thinking etc"
6756,4cb0e1bd8c83c27ee7d5c70018aa1a56,,,,on,on,,,5,3,4,4,3,3,3,4,Computational thinking is a way of thinking that involves processes behind how we solve problems.,agree,days,,more collaborative/cross subject links,sufficiently,insufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine, The purpose of the Digital Technologies subject is to provide students with the skillset they will need in order to succeed in our tech-savvy future. ,3,yes,"Once students complete their learning, they should be able to create solutions, understand the fundamentals of programming and have the skills to problem solve. "
6757,ce667a21dc817780b10e357aab79d938,,on,on,,,on,,4,5,5,5,4,5,5,5,Computational thinking is the ability to take multiple inputs and to effectively consider the desired output.,strongly_agree,weeks,Systems thinking,,i_am_already_confident,considerably,considerably,i_am_already_aware,sufficiently,a_lot,yes_lots_,just_fine,just_fine,To inspire kids to be leaders and innovators and to be able to solve problems across a range of disciplines.,5,yes,Imagine and create previously unthought of solutions to problems in the real world.
6758,4ee49242afd5f0206e6dd6d0a628409a,,on,,,,,"Possibly a bigger focus on the curriculum itself and ways in which the key concepts might look when teaching students in the classroom. 
Splitting primary and secondary up more as there were quite a few moments in the workshop that were irrelevant to me as I am not qualified to teach secondary.",4,3,5,5,5,3,5,5,"It is the ability to recognise a problem, deconstruct the problem into smaller parts and then to solve the problem in an effective manner.",agree,weeks,"Data representation, specifically what it would look like in the classroom
Abstraction, specifically what it would look like in the classroom","Data representation, specifically what it would look like in the classroom",sufficiently,sufficiently,sufficiently,sufficiently,sufficiently,a_lot,yes_lots_,just_fine,just_fine,To prepare students for an unknown technological based future where they are able to apply learnt skills to any problems in order to create a solution. To help children become creative innovators.,5,yes,They should be able to solve problems using computing/technology and the many skills taught within the DT curriculum. 
6759,7c51e1f3e28c871c790855e761a8cd53,,on,,,,on,Thanks to the ACA team for sharing their knowledge and assisting us throughout the day.,5,4,4,4,4,4,4,4,Breaking down problems into manageable chunks so that they can find a solution to the problem.,strongly_agree,weeks,Assessment,,considerably,considerably,considerably,sufficiently,considerably,a_lot,yes_lots_,,just_fine,To engage our students in problem solving and to prepare them to successfully use and create technologies for their future.,4,yes,"Not just be passive users of technology, but to have the skills and understanding of how to create and modify the technology."
6760,af60bb9888764615d6588fd9029bb2e2,,on,on,,,on,"Working in teams to solve the code was easier so maybe limit the activities to 1 device per pair so you can discuss  and reflect on your learning the code
I would like specific WAC links to activities for teachers ",4,3,4,5,4,3,4,4,How 'thinking like a computer' can help us create solutions,strongly_agree,weeks,"Data representation activities
Abstraction activities
Branching unplugged activities","Workshop tips
More unplugged activities for ECH
More on integration ",considerably,sufficiently,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,To equip our students to be able to use and understand how any technology works when they are creating solutions now and in the future.  ,4,yes,Students will be able to use and understand how any technology works when they are creating solutions now and in the future.  
6761,1d326e007ffb8d2980c91d6bae76ea50,,,,on,on,,"Honestly, just keep doing what your doing. The depth of understanding I have now, compared to the meager basis of interpretation I had previously gleaned from the limited statements in the syllabus, ultimately provides confidence and clarity - and importantly, the reassurance of consensus with my peers. ",4,5,5,5,4,5,4,4,"The ability to use the concepts of abstraction, decomposition, pattern recognition  and generalisation, and implementation to provide solutions to problems now and those of the future we will likely create due to their implementation.",agree,days, ,Tackling the delivery of modules based on audience.,sufficiently,sufficiently,considerably,considerably,considerably,a_lot,yes_a_bit,short,fast,  To ensure students have a deeper understanding of the underlying concepts of Digital Technologies and confidence in facing the future challenges and opportunities that technology will bring to society. Knowledge should go beyond the basic competencies of the General Capabilities. ,4,yes,Confidence in problem solving using computational thinking and conceptual knowledge in implementation  
6763,7304099c669aa0a043f4b2d364d9503b,,,on,,,,,5,5,5,5,5,5,4,5,"The ability to think through a problem, process it systematically in order to reach an output/answer/result.",strongly_agree,days,"Digital Systems
",,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,"To give students ample opportunity to grow in confidence in interacting with data and digital environments, problem-solving and critical thinking, resilience and creativity. ",5,no,"By the end of Year Six, my students should be able to use visual programming environments to loop, use if statements and create algorithms.  They should be comfortable with using technology, understand what data is, and begin to understand binary. "
6789,62876d28acfb2f98f3ec9b644b6ed17f,,on,on,,,on,How to extend competent primary teachers to help in high school (especially regional),4,4,4,5,5,4,4,4,The ability to define & solve problems like a computer would. ,agree,days,"How to deliver 
How to make sure we cover the most ground in our areas",Unsure,sufficiently,sufficiently,sufficiently,i_am_already_aware,i_already_understood,a_lot,yes_lots_,just_fine,just_fine,To assist children to learn & use technological skills technologies to define & solve problems ,4,yes,
